Kitchen schedule for 6-2020
Name,Room,Day
Anna,27-30,2020-06-01
Biff,1-6 20,2020-06-02
Chad,12-17 3,2020-06-03
Anna,27-30,2020-06-04
Biff,1-6 20,2020-06-05
Chad,12-17 3,2020-06-06
Chad,12-17 3,2020-06-07
Anna,27-30,2020-06-08
Biff,1-6 20,2020-06-09
Chad,12-17 3,2020-06-10
Anna,27-30,2020-06-11
Biff,1-6 20,2020-06-12
Chad,12-17 3,2020-06-13
Chad,12-17 3,2020-06-14
Anna,27-30,2020-06-15
Biff,1-6 20,2020-06-16
Chad,12-17 3,2020-06-17
Anna,27-30,2020-06-18
Biff,1-6 20,2020-06-19
Chad,12-17 3,2020-06-20
Chad,12-17 3,2020-06-21
Anna,27-30,2020-06-22
Biff,1-6 20,2020-06-23
Chad,12-17 3,2020-06-24
Anna,27-30,2020-06-25
Biff,1-6 20,2020-06-26
Chad,12-17 3,2020-06-27
Chad,12-17 3,2020-06-28
Anna,27-30,2020-06-29
Biff,1-6 20,2020-06-30
